title,price,description,image_link
Toyota Prius,$ 12 400,"2011 г., 1.8 л., автомат, хэтчбек 5 дв., гибрид, руль слева",https://im.mashina.kg/tachka/images//3/e/0/3e0779d4ff0242bae37f669c995279b4_240x180.jpg
Lexus GX,$ 29 500,"2007 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева",https://im.mashina.kg/tachka/images//f/5/b/f5be280aa418aad5870f06b025f23b10_240x180.jpg
Lexus GX,$ 31 500,"2008 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева",https://im.mashina.kg/tachka/images//7/4/8/7485f6d8a659680acb04385d470fd2f6_240x180.jpg
Mercedes-Benz W124,$ 1 826,"1991 г., 2.3 л., механика, универсал, бензин, руль слева, 200 000 км",https://im.mashina.kg/tachka/images//0/1/4/0141b7a0d3bbf7a4f4c3ce1e7c594b37_240x180.jpg
Toyota Highlander,$ 15 800,"2005 г., 3.3 л., вариатор, внедорожник 5 дв., гибрид, руль слева",https://im.mashina.kg/tachka/images//9/f/4/9f4833666751c0768c72ac11d92cbf29_240x180.jpg
Lexus RX,$ 23 000,"2009 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 171 000 км",https://im.mashina.kg/tachka/images//1/b/5/1b5469d5e66d7aa5b03bd98907c1125f_240x180.jpg
Toyota Mark II,$ 8 156,"2004 г., 2 л., автомат, седан, бензин, руль справа, 300 000 км",https://im.mashina.kg/tachka/images//7/c/6/7c67b5f870020f49c64c2a59655e8cc7_240x180.jpg
BMW 5 Серия,$ 2 191,"1991 г., 2 л., механика, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//1/8/8/1885a161d92340fd645ea4f717fac0a4_240x180.jpg
Kia K7,$ 17 800,"2016 г., 3 л., автомат, седан, газ, руль слева, 250 000 км",https://im.mashina.kg/tachka/images//8/4/d/84dcd1ada92bc516462ce65e21ad9e4c_240x180.jpg
Kia K5 I Рестайлинг Седан,$ 11 400,"2014 г., 2 л., автомат, седан, газ, руль слева, 123 500 км",https://im.mashina.kg/tachka/images//c/d/1/cd1df3fc334e70b1bb47669144d7d2d3_240x180.jpg
Suzuki Alto,$ 2 556,"2005 г., 1.1 л., механика, хэтчбек 5 дв., бензин, руль слева, 150 000 км",https://im.mashina.kg/tachka/images//7/7/a/77a24ebda066446f9b0e0cc9618c719d_240x180.jpg
Mercedes-Benz E-класс,$ 5 234,"2001 г., 2 л., механика, универсал, бензин, руль слева, 312 411 км",https://im.mashina.kg/tachka/images//7/1/d/71d40fdb600c756bedc0fac6d4c819ab_240x180.jpg
